
接口: 192.168.31.92 --- 0xe
  Internet 地址         物理地址              类型
  192.168.31.1          34-ce-00-21-98-6c     动态        
  192.168.31.9          0c-8f-ff-7c-7e-76     动态        
  192.168.31.96         4c-18-9a-eb-c5-fd     动态        
  192.168.31.255        ff-ff-ff-ff-ff-ff     静态        
  224.0.0.2             01-00-5e-00-00-02     静态        
  224.0.0.22            01-00-5e-00-00-16     静态        
  224.0.0.251           01-00-5e-00-00-fb     静态        
  224.0.0.252           01-00-5e-00-00-fc     静态        
  239.255.255.250       01-00-5e-7f-ff-fa     静态        
  255.255.255.255       ff-ff-ff-ff-ff-ff     静态        
